Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Floor,Pain Management Achievement Threshold,Pain Management Benchmark,Pain Management Baseline Rate,Pain Management Performance Rate,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"260219","PROGRESS WEST HOSPITAL","2 PROGRESS POINT PKWY","Ofallon","MO","63368","ST. CHARLES","58.14","78.19","86.61","81.03","82.01","5 out of 10","1 out of 9","5 out of 10","63.58","80.51","88.80","83.67","84.13","4 out of 10","0 out of 9","4 out of 10","37.29","65.05","80.01","62.12","62.73","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","70.52","69.40","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","68.61","64.24","2 out of 10","0 out of 9","2 out of 10","44.32","65.30","79.39","63.65","63.34","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","90.53","93.47","10 out of 10","9 out of 9","10 out of 10","35.99","70.02","84.60","83.88","81.49","8 out of 10","0 out of 9","8 out of 10","29","18"
"190125","ST FRANCIS MEDICAL CENTER","309 JACKSON STREET","Monroe","LA","71201","OUACHITA","58.14","78.19","86.61","83.36","79.26","2 out of 10","0 out of 9","2 out of 10","63.58","80.51","88.80","85.79","88.83","10 out of 10","9 out of 9","10 out of 10","37.29","65.05","80.01","67.43","61.05","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","73.09","72.54","3 out of 10","0 out of 9","3 out of 10","41.42","62.88","73.36","70.01","65.49","3 out of 10","0 out of 9","3 out of 10","44.32","65.30","79.39","72.25","66.39","1 out of 10","0 out of 9","1 out of 10","64.09","85.91","91.23","80.41","77.17","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","75.20","73.01","2 out of 10","0 out of 9","2 out of 10","21","11"
"050013","ST HELENA HOSPITAL","10 WOODLAND ROAD","Saint Helena","CA","94574","NAPA","58.14","78.19","86.61","82.02","78.52","1 out of 10","0 out of 9","1 out of 10","63.58","80.51","88.80","80.11","80.64","1 out of 10","0 out of 9","1 out of 10","37.29","65.05","80.01","69.15","71.37","4 out of 10","2 out of 9","4 out of 10","49.53","70.28","78.33","75.90","73.57","4 out of 10","0 out of 9","4 out of 10","41.42","62.88","73.36","65.95","66.73","4 out of 10","1 out of 9","4 out of 10","44.32","65.30","79.39","67.51","68.41","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","88.74","90.61","8 out of 10","7 out of 9","8 out of 10","35.99","70.02","84.60","78.72","77.11","5 out of 10","0 out of 9","5 out of 10","29","20"
"260020","MERCY HOSPITAL ST LOUIS","615 NEW BALLAS ROAD","Saint Louis","MO","63141","ST. LOUIS","58.14","78.19","86.61","79.01","78.72","1 out of 10","0 out of 9","1 out of 10","63.58","80.51","88.80","81.94","79.59","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","63.96","60.16","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","71.72","70.41","1 out of 10","0 out of 9","1 out of 10","41.42","62.88","73.36","62.53","60.55","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","65.16","63.45","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","88.03","88.23","4 out of 10","0 out of 9","4 out of 10","35.99","70.02","84.60","77.85","76.90","5 out of 10","0 out of 9","5 out of 10","11","16"
"310005","HUNTERDON MEDICAL CENTER","2100 WESCOTT DRIVE","Flemington","NJ","08822","HUNTERDON","58.14","78.19","86.61","81.62","82.21","5 out of 10","1 out of 9","5 out of 10","63.58","80.51","88.80","81.17","79.96","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","65.58","58.80","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","74.38","71.06","1 out of 10","0 out of 9","1 out of 10","41.42","62.88","73.36","64.63","59.53","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","60.54","63.35","0 out of 10","1 out of 9","1 out of 10","64.09","85.91","91.23","85.81","86.15","1 out of 10","0 out of 9","1 out of 10","35.99","70.02","84.60","71.74","70.54","1 out of 10","0 out of 9","1 out of 10","9","15"
"420011","CANNON MEMORIAL HOSPITAL","123 MEDICAL PARK DRIVE PO BOX 188","Pickens","SC","29671","PICKENS","58.14","78.19","86.61","79.39","82.57","5 out of 10","4 out of 9","5 out of 10","63.58","80.51","88.80","83.25","84.04","4 out of 10","1 out of 9","4 out of 10","37.29","65.05","80.01","70.39","70.78","4 out of 10","0 out of 9","4 out of 10","49.53","70.28","78.33","70.22","64.62","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","65.74","67.21","4 out of 10","1 out of 9","4 out of 10","44.32","65.30","79.39","67.84","65.18","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","85.85","84.52","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","67.84","67.26","0 out of 10","0 out of 9","0 out of 10","17","14"
"130063","TREASURE VALLEY HOSPITAL","8800 WEST EMERALD STREET","Boise","ID","83704","ADA","58.14","78.19","86.61","89.16","86.91","10 out of 10","0 out of 9","10 out of 10","63.58","80.51","88.80","79.76","83.19","3 out of 10","3 out of 9","3 out of 10","37.29","65.05","80.01","86.21","87.50","10 out of 10","9 out of 9","10 out of 10","49.53","70.28","78.33","83.85","81.73","10 out of 10","0 out of 9","10 out of 10","41.42","62.88","73.36","75.71","66.76","4 out of 10","0 out of 9","4 out of 10","44.32","65.30","79.39","83.03","80.50","10 out of 10","0 out of 9","10 out of 10","64.09","85.91","91.23","89.08","91.44","10 out of 10","9 out of 9","10 out of 10","35.99","70.02","84.60","84.50","86.07","10 out of 10","9 out of 9","10 out of 10","67","20"
"530032","EVANSTON REGIONAL HOSPITAL","190 ARROWHEAD DR","Evanston","WY","82930","UINTA","58.14","78.19","86.61","73.05","79.82","2 out of 10","4 out of 9","4 out of 10","63.58","80.51","88.80","82.50","77.70","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","65.57","76.25","7 out of 10","7 out of 9","7 out of 10","49.53","70.28","78.33","69.01","73.97","5 out of 10","5 out of 9","5 out of 10","41.42","62.88","73.36","64.54","64.76","2 out of 10","0 out of 9","2 out of 10","44.32","65.30","79.39","58.82","76.17","7 out of 10","8 out of 9","8 out of 10","64.09","85.91","91.23","87.26","90.27","8 out of 10","7 out of 9","8 out of 10","35.99","70.02","84.60","60.01","70.80","1 out of 10","4 out of 9","4 out of 10","38","16"
"670103","MEDICAL CENTER OF ALLIANCE","3101 NORTH TARRANT PARKWAY","Fort Worth","TX","76177","TARRANT","58.14","78.19","86.61","Not Available","83.08","6 out of 10","Not Available","6 out of 10","63.58","80.51","88.80","Not Available","84.63","5 out of 10","Not Available","5 out of 10","37.29","65.05","80.01","Not Available","71.51","4 out of 10","Not Available","4 out of 10","49.53","70.28","78.33","Not Available","76.51","7 out of 10","Not Available","7 out of 10","41.42","62.88","73.36","Not Available","73.08","9 out of 10","Not Available","9 out of 10","44.32","65.30","79.39","Not Available","74.47","6 out of 10","Not Available","6 out of 10","64.09","85.91","91.23","Not Available","92.06","10 out of 10","Not Available","10 out of 10","35.99","70.02","84.60","Not Available","80.81","7 out of 10","Not Available","7 out of 10","54","20"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","Glendale","AZ","85306","MARICOPA","58.14","78.19","86.61","77.97","77.21","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","78.31","75.82","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","61.65","60.91","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.87","69.04","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","64.46","60.77","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","60.49","58.77","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.71","89.58","7 out of 10","5 out of 9","7 out of 10","35.99","70.02","84.60","75.18","72.42","2 out of 10","0 out of 9","2 out of 10","9","13"
"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 NORTH BUERKLE ST","Stuttgart","AR","72160","ARKANSAS","58.14","78.19","86.61","79.22","86.84","10 out of 10","9 out of 9","10 out of 10","63.58","80.51","88.80","88.66","93.41","10 out of 10","9 out of 9","10 out of 10","37.29","65.05","80.01","68.84","76.25","7 out of 10","6 out of 9","7 out of 10","49.53","70.28","78.33","70.51","76.21","7 out of 10","7 out of 9","7 out of 10","41.42","62.88","73.36","67.48","76.94","10 out of 10","9 out of 9","10 out of 10","44.32","65.30","79.39","66.33","70.07","4 out of 10","2 out of 9","4 out of 10","64.09","85.91","91.23","82.01","85.32","0 out of 10","3 out of 9","3 out of 10","35.99","70.02","84.60","61.43","76.55","5 out of 10","6 out of 9","6 out of 10","57","19"
"390323","ADVANCED SURGICAL HOSPITAL","100 TRICH DRIVE","Washington","PA","15301","WASHINGTON","58.14","78.19","86.61","95.00","96.57","10 out of 10","9 out of 9","10 out of 10","63.58","80.51","88.80","92.55","94.47","10 out of 10","9 out of 9","10 out of 10","37.29","65.05","80.01","93.29","93.80","10 out of 10","9 out of 9","10 out of 10","49.53","70.28","78.33","83.84","86.66","10 out of 10","9 out of 9","10 out of 10","41.42","62.88","73.36","83.42","87.71","10 out of 10","9 out of 9","10 out of 10","44.32","65.30","79.39","87.72","87.33","10 out of 10","0 out of 9","10 out of 10","64.09","85.91","91.23","93.37","94.11","10 out of 10","9 out of 9","10 out of 10","35.99","70.02","84.60","94.15","94.52","10 out of 10","9 out of 9","10 out of 10","80","20"
"440151","SAINT THOMAS RIVER PARK HOSPITAL","1559 SPARTA STREET","Mcminnville","TN","37110","WARREN","58.14","78.19","86.61","75.89","77.72","0 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","77.70","81.35","1 out of 10","3 out of 9","3 out of 10","37.29","65.05","80.01","64.73","68.24","2 out of 10","2 out of 9","2 out of 10","49.53","70.28","78.33","67.80","70.06","0 out of 10","2 out of 9","2 out of 10","41.42","62.88","73.36","61.06","67.10","4 out of 10","4 out of 9","4 out of 10","44.32","65.30","79.39","68.86","69.74","3 out of 10","0 out of 9","3 out of 10","64.09","85.91","91.23","82.82","90.24","8 out of 10","8 out of 9","8 out of 10","35.99","70.02","84.60","66.10","69.43","0 out of 10","1 out of 9","1 out of 10","24","19"
"450040","COVENANT MEDICAL CENTER","3615 19TH STREET","Lubbock","TX","79410","LUBBOCK","58.14","78.19","86.61","79.19","79.66","2 out of 10","0 out of 9","2 out of 10","63.58","80.51","88.80","81.53","82.68","3 out of 10","1 out of 9","3 out of 10","37.29","65.05","80.01","67.09","65.64","1 out of 10","0 out of 9","1 out of 10","49.53","70.28","78.33","72.85","71.27","2 out of 10","0 out of 9","2 out of 10","41.42","62.88","73.36","66.04","66.03","3 out of 10","0 out of 9","3 out of 10","44.32","65.30","79.39","65.57","64.28","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.04","87.61","3 out of 10","1 out of 9","3 out of 10","35.99","70.02","84.60","74.90","74.38","3 out of 10","0 out of 9","3 out of 10","17","19"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","Anniston","AL","36207","CALHOUN","58.14","78.19","86.61","72.13","73.30","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","81.26","81.42","1 out of 10","0 out of 9","1 out of 10","37.29","65.05","80.01","50.85","55.41","0 out of 10","1 out of 9","1 out of 10","49.53","70.28","78.33","60.95","67.24","0 out of 10","3 out of 9","3 out of 10","41.42","62.88","73.36","54.42","53.66","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","67.84","71.90","5 out of 10","3 out of 9","5 out of 10","64.09","85.91","91.23","81.00","84.70","0 out of 10","3 out of 9","3 out of 10","35.99","70.02","84.60","63.30","69.06","0 out of 10","2 out of 9","2 out of 10","15","11"
"340129","LAKE NORMAN REGIONAL MEDICAL CENTER","171 FAIRVIEW ROAD","Mooresville","NC","28117","IREDELL","58.14","78.19","86.61","75.43","72.74","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","81.06","81.24","1 out of 10","0 out of 9","1 out of 10","37.29","65.05","80.01","59.70","56.18","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","68.16","68.69","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","59.80","59.80","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","63.81","63.53","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","84.53","88.13","4 out of 10","5 out of 9","5 out of 10","35.99","70.02","84.60","61.79","63.60","0 out of 10","0 out of 9","0 out of 10","6","13"
"140122","ADVENTIST HINSDALE HOSPITAL","120 NORTH OAK ST","Hinsdale","IL","60521","DU PAGE","58.14","78.19","86.61","82.18","83.00","6 out of 10","1 out of 9","6 out of 10","63.58","80.51","88.80","83.19","82.93","3 out of 10","0 out of 9","3 out of 10","37.29","65.05","80.01","70.32","71.03","4 out of 10","0 out of 9","4 out of 10","49.53","70.28","78.33","73.87","74.39","5 out of 10","1 out of 9","5 out of 10","41.42","62.88","73.36","63.10","64.76","2 out of 10","1 out of 9","2 out of 10","44.32","65.30","79.39","68.37","70.55","4 out of 10","1 out of 9","4 out of 10","64.09","85.91","91.23","86.56","88.78","5 out of 10","4 out of 9","5 out of 10","35.99","70.02","84.60","79.19","78.70","6 out of 10","0 out of 9","6 out of 10","35","20"
"410006","NEWPORT HOSPITAL","FRIENDSHIP STREET","Newport","RI","02840","NEWPORT","58.14","78.19","86.61","82.02","83.86","7 out of 10","4 out of 9","7 out of 10","63.58","80.51","88.80","79.24","81.70","2 out of 10","2 out of 9","2 out of 10","37.29","65.05","80.01","67.68","73.29","5 out of 10","4 out of 9","5 out of 10","49.53","70.28","78.33","72.14","72.95","3 out of 10","1 out of 9","3 out of 10","41.42","62.88","73.36","60.11","66.35","3 out of 10","4 out of 9","4 out of 10","44.32","65.30","79.39","68.60","70.83","4 out of 10","2 out of 9","4 out of 10","64.09","85.91","91.23","87.09","89.96","7 out of 10","6 out of 9","7 out of 10","35.99","70.02","84.60","71.11","78.06","5 out of 10","5 out of 9","5 out of 10","37","20"
"100315","VIERA HOSPITAL","8745 N WICKHAM RD","Melbourne","FL","32940","BREVARD","58.14","78.19","86.61","85.72","87.38","10 out of 10","9 out of 9","10 out of 10","63.58","80.51","88.80","83.50","84.35","5 out of 10","1 out of 9","5 out of 10","37.29","65.05","80.01","76.90","77.58","8 out of 10","2 out of 9","8 out of 10","49.53","70.28","78.33","76.15","78.75","10 out of 10","9 out of 9","10 out of 10","41.42","62.88","73.36","71.19","72.60","9 out of 10","6 out of 9","9 out of 10","44.32","65.30","79.39","75.79","77.80","8 out of 10","5 out of 9","8 out of 10","64.09","85.91","91.23","87.77","90.95","9 out of 10","9 out of 9","9 out of 10","35.99","70.02","84.60","84.71","86.46","10 out of 10","9 out of 9","10 out of 10","69","20"
"070021","WINDHAM COMM MEM HOSP & HATCH HOSP","112 MANSFIELD AVENUE","Willimantic","CT","06226","WINDHAM","58.14","78.19","86.61","77.06","77.34","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","78.76","75.63","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","66.03","63.25","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","74.52","70.91","1 out of 10","0 out of 9","1 out of 10","41.42","62.88","73.36","62.22","61.85","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","58.93","57.95","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.57","90.80","9 out of 10","8 out of 9","9 out of 10","35.99","70.02","84.60","63.23","61.99","0 out of 10","0 out of 9","0 out of 10","10","12"
"330181","GLEN COVE HOSPITAL","101 ST ANDREWS LANE","Glen Cove","NY","11542","NASSAU","58.14","78.19","86.61","78.87","72.59","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","80.48","79.51","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","63.64","55.35","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","71.32","62.80","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","61.12","64.99","2 out of 10","3 out of 9","3 out of 10","44.32","65.30","79.39","61.13","63.80","0 out of 10","1 out of 9","1 out of 10","64.09","85.91","91.23","78.19","77.53","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","70.51","61.75","0 out of 10","0 out of 9","0 out of 10","4","12"
"050492","CLOVIS COMMUNITY MEDICAL CENTER","2755 HERNDON AVE","Clovis","CA","93611","FRESNO","58.14","78.19","86.61","76.62","77.54","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","80.27","78.28","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","65.08","62.25","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","71.97","67.77","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","64.97","65.30","3 out of 10","0 out of 9","3 out of 10","44.32","65.30","79.39","69.48","68.11","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","85.74","90.48","8 out of 10","8 out of 9","8 out of 10","35.99","70.02","84.60","77.62","80.63","7 out of 10","4 out of 9","7 out of 10","20","17"
"500119","VALLEY HOSPITAL","12606 EAST MISSION AVENUE","Spokane Valley","WA","99216","SPOKANE","58.14","78.19","86.61","73.75","75.27","0 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","78.46","78.60","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","60.22","62.05","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.39","68.20","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","62.02","59.19","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","58.49","60.42","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","89.35","88.04","4 out of 10","0 out of 9","4 out of 10","35.99","70.02","84.60","66.64","69.72","0 out of 10","1 out of 9","1 out of 10","6","15"
"060010","POUDRE VALLEY HOSPITAL","1024 S LEMAY AVE","Fort Collins","CO","80524","LARIMER","58.14","78.19","86.61","78.63","78.93","1 out of 10","0 out of 9","1 out of 10","63.58","80.51","88.80","77.92","79.30","0 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","67.12","68.36","2 out of 10","0 out of 9","2 out of 10","49.53","70.28","78.33","71.83","72.54","3 out of 10","1 out of 9","3 out of 10","41.42","62.88","73.36","64.10","66.78","4 out of 10","2 out of 9","4 out of 10","44.32","65.30","79.39","67.82","67.09","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","87.31","89.11","6 out of 10","4 out of 9","6 out of 10","35.99","70.02","84.60","76.78","75.85","4 out of 10","0 out of 9","4 out of 10","23","18"
"230069","SAINT JOSEPH MERCY LIVINGSTON HOSPITAL","620 BYRON RD","Howell","MI","48843","LIVINGSTON","58.14","78.19","86.61","77.73","80.68","3 out of 10","3 out of 9","3 out of 10","63.58","80.51","88.80","81.37","82.88","3 out of 10","2 out of 9","3 out of 10","37.29","65.05","80.01","68.46","70.74","4 out of 10","1 out of 9","4 out of 10","49.53","70.28","78.33","70.28","71.07","1 out of 10","0 out of 9","1 out of 10","41.42","62.88","73.36","62.58","63.05","1 out of 10","0 out of 9","1 out of 10","44.32","65.30","79.39","64.28","67.39","2 out of 10","2 out of 9","2 out of 10","64.09","85.91","91.23","89.26","89.80","7 out of 10","2 out of 9","7 out of 10","35.99","70.02","84.60","67.88","72.06","2 out of 10","2 out of 9","2 out of 10","23","20"
"100072","FLORIDA HOSPITAL FISH MEMORIAL","1055 SAXON BLVD","Orange City","FL","32763","VOLUSIA","58.14","78.19","86.61","76.88","79.03","1 out of 10","2 out of 9","2 out of 10","63.58","80.51","88.80","75.30","73.96","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","64.59","67.62","2 out of 10","1 out of 9","2 out of 10","49.53","70.28","78.33","68.14","69.65","0 out of 10","1 out of 9","1 out of 10","41.42","62.88","73.36","62.39","66.63","4 out of 10","3 out of 9","4 out of 10","44.32","65.30","79.39","64.49","65.90","1 out of 10","0 out of 9","1 out of 10","64.09","85.91","91.23","84.28","87.31","3 out of 10","4 out of 9","4 out of 10","35.99","70.02","84.60","63.96","66.45","0 out of 10","1 out of 9","1 out of 10","15","12"
"370156","PAULS VALLEY HOSPITAL AUTHORITY","100 VALLEY DRIVE","Pauls Valley","OK","73075","GARVIN","58.14","78.19","86.61","79.52","79.42","2 out of 10","Not Available","2 out of 10","63.58","80.51","88.80","79.11","80.20","0 out of 10","Not Available","0 out of 10","37.29","65.05","80.01","72.55","72.14","5 out of 10","Not Available","5 out of 10","49.53","70.28","78.33","67.96","72.76","3 out of 10","Not Available","3 out of 10","41.42","62.88","73.36","73.64","64.72","2 out of 10","Not Available","2 out of 10","44.32","65.30","79.39","72.36","71.85","5 out of 10","Not Available","5 out of 10","64.09","85.91","91.23","76.09","83.53","0 out of 10","Not Available","0 out of 10","35.99","70.02","84.60","60.66","66.83","0 out of 10","Not Available","0 out of 10","17","17"
"440081","LECONTE MEDICAL CENTER","742 MIDDLECREEK ROAD","Sevierville","TN","37862","CUMBERLAND","58.14","78.19","86.61","77.47","75.06","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","80.98","78.50","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","65.37","60.03","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","71.09","66.28","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","63.11","54.96","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","67.62","60.77","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","86.38","86.07","1 out of 10","0 out of 9","1 out of 10","35.99","70.02","84.60","72.54","68.69","0 out of 10","0 out of 9","0 out of 10","1","12"
"050674","KAISER FOUNDATION HOSP SO SACRAMENTO","6600 BRUCEVILLE ROAD","Sacramento","CA","95823","SACRAMENTO","58.14","78.19","86.61","75.49","76.48","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","83.13","81.91","2 out of 10","0 out of 9","2 out of 10","37.29","65.05","80.01","63.17","64.11","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","71.74","69.87","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","63.41","61.94","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","59.69","61.07","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","86.73","86.16","1 out of 10","0 out of 9","1 out of 10","35.99","70.02","84.60","73.20","72.50","2 out of 10","0 out of 9","2 out of 10","5","15"
"100118","FLORIDA HOSPITAL FLAGLER","60 MEMORIAL MEDICAL PKWY","Palm Coast","FL","32164","FLAGLER","58.14","78.19","86.61","75.71","78.27","1 out of 10","2 out of 9","2 out of 10","63.58","80.51","88.80","79.60","77.61","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","60.74","66.85","2 out of 10","3 out of 9","3 out of 10","49.53","70.28","78.33","69.48","73.03","4 out of 10","4 out of 9","4 out of 10","41.42","62.88","73.36","60.96","65.57","3 out of 10","3 out of 9","3 out of 10","44.32","65.30","79.39","64.98","70.34","4 out of 10","3 out of 9","4 out of 10","64.09","85.91","91.23","85.36","85.81","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","65.21","67.90","0 out of 10","1 out of 9","1 out of 10","17","16"
"250082","DELTA REGIONAL MEDICAL CENTER","1400 E UNION ST","Greenville","MS","38704","WASHINGTON","58.14","78.19","86.61","73.80","72.48","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","83.93","84.28","5 out of 10","0 out of 9","5 out of 10","37.29","65.05","80.01","62.63","58.43","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.65","68.12","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","61.14","61.69","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","69.36","65.66","1 out of 10","0 out of 9","1 out of 10","64.09","85.91","91.23","77.00","80.33","0 out of 10","2 out of 9","2 out of 10","35.99","70.02","84.60","58.78","59.05","0 out of 10","0 out of 9","0 out of 10","8","13"
"280061","REGIONAL WEST MEDICAL CENTER","4021 AVE B","Scottsbluff","NE","69361","SCOTTS BLUFF","58.14","78.19","86.61","76.07","76.66","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","79.83","81.02","1 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","64.40","64.44","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.51","69.55","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","62.89","63.34","1 out of 10","0 out of 9","1 out of 10","44.32","65.30","79.39","59.57","58.38","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","88.98","89.72","7 out of 10","3 out of 9","7 out of 10","35.99","70.02","84.60","65.23","68.09","0 out of 10","1 out of 9","1 out of 10","10","13"
"110036","MEMORIAL HEALTH UNIV MED CEN, INC","4700 WATERS AVENUE","Savannah","GA","31403","CHATHAM","58.14","78.19","86.61","76.84","74.45","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","81.65","78.37","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","63.77","59.72","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","71.80","68.24","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","59.91","59.29","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","56.52","60.18","0 out of 10","1 out of 9","1 out of 10","64.09","85.91","91.23","84.94","83.67","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","67.60","64.90","0 out of 10","0 out of 9","0 out of 10","1","15"
