Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score
"390052","CLEARFIELD HOSPITAL","809 TURNPIKE AVE","Clearfield","PA","16830","CLEARFIELD","0.851458","0.871669","0.852264","0.867472","8 out of 10","Not Available","8 out of 10","0.881794","0.903985","0.859635","0.887778","3 out of 10","6 out of 9","6 out of 10","0.882986","0.908124","0.888079","0.869494","0 out of 10","0 out of 9","0 out of 10"
"390056","J C BLAIR MEMORIAL HOSPITAL","1225 WARM SPRINGS AVE","Huntingdon","PA","16652","HUNTINGDON","0.851458","0.871669","0.842677","0.866302","Not Available","Not Available","Not Available","0.881794","0.903985","0.887462","0.891837","5 out of 10","2 out of 9","5 out of 10","0.882986","0.908124","0.883682","0.886517","2 out of 10","1 out of 9","2 out of 10"
"390057","GRAND VIEW HOSPITAL","700 LAWN AVENUE","Sellersville","PA","18960","BUCKS","0.851458","0.871669","0.860694","0.869941","9 out of 10","8 out of 9","9 out of 10","0.881794","0.903985","0.894409","0.879384","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.906738","0.903993","8 out of 10","0 out of 9","8 out of 10"
"390058","CARLISLE REGIONAL MEDICAL CENTER","361 ALEXANDER SPRING ROAD","Carlisle","PA","17015","CUMBERLAND","0.851458","0.871669","0.828787","0.858276","4 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.871992","0.866232","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.875256","0.862698","0 out of 10","0 out of 9","0 out of 10"
"390061","LANCASTER REGIONAL MEDICAL CENTER","250 COLLEGE AVENUE","Lancaster","PA","17604","LANCASTER","0.851458","0.871669","0.851568","0.866248","7 out of 10","7 out of 9","7 out of 10","0.881794","0.903985","0.895515","0.891757","5 out of 10","0 out of 9","5 out of 10","0.882986","0.908124","0.889699","0.894372","5 out of 10","2 out of 9","5 out of 10"
"390062","NASON HOSPITAL","105 NASON DRIVE","Roaring Spring","PA","16673","BLAIR","0.851458","0.871669","0.842975","0.864303","Not Available","Not Available","Not Available","0.881794","0.903985","0.869475","0.865505","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.894164","0.887833","2 out of 10","0 out of 9","2 out of 10"
"390063","UPMC HAMOT","201 STATE STREET","Erie","PA","16550","ERIE","0.851458","0.871669","0.856769","0.846776","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.881150","0.861418","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.899813","0.879099","0 out of 10","0 out of 9","0 out of 10"
"390065","GETTYSBURG HOSPITAL","147 GETTYS STREET","Gettysburg","PA","17325","ADAMS","0.851458","0.871669","0.842455","0.860727","5 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.885524","0.876442","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.904325","0.888994","3 out of 10","0 out of 9","3 out of 10"
"390066","GOOD SAMARITAN HOSPITAL","FOURTH AND WALNUT STREETS","Lebanon","PA","17042","LEBANON","0.851458","0.871669","0.828406","0.855252","2 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.854856","0.865775","0 out of 10","2 out of 9","2 out of 10","0.882986","0.908124","0.843089","0.860989","0 out of 10","2 out of 9","2 out of 10"
"390067","PINNACLE HEALTH HOSPITALS","409 SOUTH SECOND STREET","Harrisburg","PA","17105","DAUPHIN","0.851458","0.871669","0.850752","0.864346","6 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.848817","0.880783","0 out of 10","5 out of 9","5 out of 10","0.882986","0.908124","0.842989","0.886045","2 out of 10","6 out of 9","6 out of 10"
"390068","HEART OF LANCASTER REGIONAL MEDICAL CENTER","1500 HIGHLANDS DRIVE","Lititz","PA","17543","LANCASTER","0.851458","0.871669","0.855370","0.859007","Not Available","Not Available","Not Available","0.881794","0.903985","0.887706","0.882625","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.879201","0.894794","5 out of 10","5 out of 9","5 out of 10"
"390070","LOWER BUCKS HOSPITAL","501 BATH ROAD","Bristol","PA","19007","BUCKS","0.851458","0.871669","0.857340","0.867436","8 out of 10","7 out of 9","8 out of 10","0.881794","0.903985","0.891145","0.887169","3 out of 10","0 out of 9","3 out of 10","0.882986","0.908124","0.883536","0.896966","Not Available","Not Available","Not Available"
"390071","LOCK HAVEN HOSPITAL","24 CREE DRIVE","Lock Haven","PA","17745","CLINTON","0.851458","0.871669","0.851241","0.868872","Not Available","Not Available","Not Available","0.881794","0.903985","0.876819","0.887215","3 out of 10","3 out of 9","3 out of 10","0.882986","0.908124","0.884535","0.885231","1 out of 10","0 out of 9","1 out of 10"
"390072","BERWICK HOSPITAL CENTER","701 EAST 16TH STREET","Berwick","PA","18603","COLUMBIA","0.851458","0.871669","0.848978","0.857709","Not Available","Not Available","Not Available","0.881794","0.903985","0.878450","0.860038","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.856267","0.884577","1 out of 10","5 out of 9","5 out of 10"
"390073","UPMC ALTOONA","620 HOWARD AVENUE","Altoona","PA","16601","BLAIR","0.851458","0.871669","0.865651","0.857987","3 out of 10","0 out of 9","3 out of 10","0.881794","0.903985","0.883580","0.860321","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.881762","0.869616","0 out of 10","0 out of 9","0 out of 10"
"390076","BRANDYWINE HOSPITAL","201 REECEVILLE ROAD","Coatesville","PA","19320","CHESTER","0.851458","0.871669","0.856338","0.860667","5 out of 10","2 out of 9","5 out of 10","0.881794","0.903985","0.865278","0.873296","0 out of 10","2 out of 9","2 out of 10","0.882986","0.908124","0.872682","0.888166","2 out of 10","4 out of 9","4 out of 10"
"390079","ROBERT PACKER HOSPITAL","ONE GUTHRIE SQUARE","Sayre","PA","18840","BRADFORD","0.851458","0.871669","0.859257","0.881844","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.903574","0.872994","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.889772","0.905209","8 out of 10","8 out of 9","8 out of 10"
"390080","JEANES HOSPITAL","7600 CENTRAL AVENUE","Philadelphia","PA","19111","PHILADELPHIA","0.851458","0.871669","0.873419","0.866959","7 out of 10","0 out of 9","7 out of 10","0.881794","0.903985","0.899265","0.895027","6 out of 10","0 out of 9","6 out of 10","0.882986","0.908124","0.882829","0.893241","4 out of 10","4 out of 9","4 out of 10"
"390081","DELAWARE COUNTY MEMORIAL HOSPITAL","501 NORTH LANSDOWNE AVE","Drexel Hill","PA","19026","DELAWARE","0.851458","0.871669","0.851665","0.868600","8 out of 10","8 out of 9","8 out of 10","0.881794","0.903985","0.891101","0.888346","3 out of 10","0 out of 9","3 out of 10","0.882986","0.908124","0.875745","0.894031","4 out of 10","5 out of 9","5 out of 10"
"390084","SUNBURY COMMUNITY HOSPITAL","350 NORTH 11TH STREET","Sunbury","PA","17801","NORTHUMBERLAND","0.851458","0.871669","0.855295","0.857866","Not Available","Not Available","Not Available","0.881794","0.903985","0.869904","0.870396","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.833283","0.860056","0 out of 10","3 out of 9","3 out of 10"
"390086","PENN HIGHLANDS DUBOIS","100 HOSPITAL AVENUE","Dubois","PA","15801","CLEARFIELD","0.851458","0.871669","0.855388","0.882060","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.874820","0.882220","1 out of 10","2 out of 9","2 out of 10","0.882986","0.908124","0.882900","0.885688","1 out of 10","1 out of 9","1 out of 10"
"390090","WESTERN PENNSYLVANIA HOSPITAL","4800 FRIENDSHIP AVENUE","Pittsburgh","PA","15224","ALLEGHENY","0.851458","0.871669","0.842713","0.871027","9 out of 10","Not Available","9 out of 10","0.881794","0.903985","0.881807","0.890853","4 out of 10","Not Available","4 out of 10","0.882986","0.908124","0.874009","0.888590","Not Available","Not Available","Not Available"
"390091","UPMC NORTHWEST","100 FAIRFIELD DRIVE","Seneca","PA","16346","VENANGO","0.851458","0.871669","0.856227","0.863391","6 out of 10","4 out of 9","6 out of 10","0.881794","0.903985","0.879157","0.895801","6 out of 10","6 out of 9","6 out of 10","0.882986","0.908124","0.901496","0.884530","1 out of 10","0 out of 9","1 out of 10"
"390093","CLARION HOSPITAL","ONE HOSPITAL DRIVE","Clarion","PA","16214","CLARION","0.851458","0.871669","0.855540","0.858238","Not Available","Not Available","Not Available","0.881794","0.903985","0.849806","0.884071","1 out of 10","6 out of 9","6 out of 10","0.882986","0.908124","0.884777","0.877927","0 out of 10","0 out of 9","0 out of 10"
"390096","ST JOSEPH MEDICAL CENTER","2500 BERNVILLE ROAD","Reading","PA","19605","BERKS","0.851458","0.871669","0.850602","0.846862","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.880182","0.871123","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.892523","0.897142","6 out of 10","2 out of 9","6 out of 10"
"390097","HOLY REDEEMER HOSPITAL AND MEDICAL CENTER","1648 HUNTINGDON PIKE","Meadowbrook","PA","19046","MONTGOMERY","0.851458","0.871669","0.861278","0.867262","8 out of 10","5 out of 9","8 out of 10","0.881794","0.903985","0.888912","0.883167","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.895041","0.875909","0 out of 10","0 out of 9","0 out of 10"
"390100","LANCASTER GENERAL HOSPITAL","555 NORTH DUKE STREET","Lancaster","PA","17602","LANCASTER","0.851458","0.871669","0.856350","0.873968","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.873747","0.895902","6 out of 10","7 out of 9","7 out of 10","0.882986","0.908124","0.884498","0.925733","10 out of 10","9 out of 9","10 out of 10"
"390101","MEMORIAL HOSPITAL","325 SOUTH BELMONT STREET","York","PA","17403","YORK","0.851458","0.871669","0.869043","0.873438","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.871210","0.869872","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.891052","0.882203","0 out of 10","0 out of 9","0 out of 10"
"390102","UPMC ST MARGARET","815 FREEPORT ROAD","Pittsburgh","PA","15215","ALLEGHENY","0.851458","0.871669","0.831543","0.866504","7 out of 10","8 out of 9","8 out of 10","0.881794","0.903985","0.906500","0.891112","4 out of 10","0 out of 9","4 out of 10","0.882986","0.908124","0.882736","0.906138","9 out of 10","9 out of 9","9 out of 10"
"390107","UPMC PASSAVANT","9100 BABCOCK BOULEVARD","Pittsburgh","PA","15237","ALLEGHENY","0.851458","0.871669","0.860983","0.858023","3 out of 10","0 out of 9","3 out of 10","0.881794","0.903985","0.898833","0.896943","7 out of 10","0 out of 9","7 out of 10","0.882986","0.908124","0.865712","0.895049","5 out of 10","6 out of 9","6 out of 10"
"390110","MEMORIAL MEDICAL CENTER","1086 FRANKLIN STREET","Johnstown","PA","15905","CAMBRIA","0.851458","0.871669","0.864220","0.858714","4 out of 10","0 out of 9","4 out of 10","0.881794","0.903985","0.908126","0.891664","5 out of 10","0 out of 9","5 out of 10","0.882986","0.908124","0.881984","0.891435","4 out of 10","3 out of 9","4 out of 10"
"390111","HOSPITAL OF UNIV OF PENNSYLVANIA","34TH & SPRUCE STS","Philadelphia","PA","19104","PHILADELPHIA","0.851458","0.871669","0.844455","0.859022","4 out of 10","5 out of 9","5 out of 10","0.881794","0.903985","0.906584","0.886535","2 out of 10","0 out of 9","2 out of 10","0.882986","0.908124","0.896273","0.913585","10 out of 10","9 out of 9","10 out of 10"
"390112","WINDBER HOSPITAL","600 SOMERSET AVENUE","Windber","PA","15963","SOMERSET","0.851458","0.871669","0.845196","0.856967","Not Available","Not Available","Not Available","0.881794","0.903985","0.864108","0.882826","1 out of 10","4 out of 9","4 out of 10","0.882986","0.908124","0.881997","0.896264","Not Available","Not Available","Not Available"
"390113","MEADVILLE MEDICAL CENTER","751 LIBERTY STREET","Meadville","PA","16335","CRAWFORD","0.851458","0.871669","0.836999","0.852788","1 out of 10","4 out of 9","4 out of 10","0.881794","0.903985","0.851571","0.861830","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.878994","0.883863","1 out of 10","1 out of 9","1 out of 10"
"390114","MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM","300 HALKET STREET","Pittsburgh","PA","15213","ALLEGHENY","0.851458","0.871669","0.854904","0.862329","Not Available","Not Available","Not Available","0.881794","0.903985","0.889831","0.881961","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.903673","0.894111","Not Available","Not Available","Not Available"
"390115","ARIA HEALTH","10800 KNIGHTS ROAD","Philadelphia","PA","19114","PHILADELPHIA","0.851458","0.871669","0.837054","0.864008","6 out of 10","7 out of 9","7 out of 10","0.881794","0.903985","0.882543","0.881150","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.868481","0.903420","8 out of 10","8 out of 9","8 out of 10"
"390116","SUBURBAN COMMUNITY HOSPITAL","2701 DEKALB PIKE","Norristown","PA","19401","MONTGOMERY","0.851458","0.871669","0.844567","0.849824","Not Available","Not Available","Not Available","0.881794","0.903985","0.875801","0.878726","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.882128","0.866714","0 out of 10","0 out of 9","0 out of 10"
"390117","UPMC BEDFORD MEMORIAL","10455 LINCOLN HIGHWAY","Everett","PA","15537","BEDFORD","0.851458","0.871669","0.846176","0.865966","Not Available","Not Available","Not Available","0.881794","0.903985","0.882234","0.878089","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.887760","0.882890","0 out of 10","0 out of 9","0 out of 10"
"390118","BRADFORD REGIONAL MEDICAL CENTER","116 INTERSTATE PARKWAY","Bradford","PA","16701","MCKEAN","0.851458","0.871669","0.826423","0.851728","Not Available","Not Available","Not Available","0.881794","0.903985","0.882328","0.892640","5 out of 10","4 out of 9","5 out of 10","0.882986","0.908124","0.839050","0.864402","0 out of 10","3 out of 9","3 out of 10"
"390119","MOSES TAYLOR HOSPITAL","700 QUINCY AVENUE","Scranton","PA","18510","LACKAWANNA","0.851458","0.871669","0.842921","0.858804","4 out of 10","5 out of 9","5 out of 10","0.881794","0.903985","0.871596","0.855198","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.883748","0.872770","0 out of 10","0 out of 9","0 out of 10"
"390123","POTTSTOWN MEMORIAL MEDICAL CENTER","1600 EAST HIGH STREET AND ARMAND HAMMER BLVD","Pottstown","PA","19464","MONTGOMERY","0.851458","0.871669","0.853359","0.852105","1 out of 10","0 out of 9","1 out of 10","0.881794","0.903985","0.855597","0.871670","0 out of 10","3 out of 9","3 out of 10","0.882986","0.908124","0.865902","0.864399","0 out of 10","0 out of 9","0 out of 10"
"390125","WAYNE MEMORIAL HOSPITAL","601 PARK STREET","Honesdale","PA","18431","WAYNE","0.851458","0.871669","0.865255","0.844818","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.898261","0.898845","7 out of 10","1 out of 9","7 out of 10","0.882986","0.908124","0.874955","0.876292","0 out of 10","0 out of 9","0 out of 10"
"390127","PHOENIXVILLE HOSPITAL","140 NUTT ROAD","Phoenixville","PA","19460","CHESTER","0.851458","0.871669","0.856200","0.863262","6 out of 10","4 out of 9","6 out of 10","0.881794","0.903985","0.896744","0.865386","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.870146","0.893284","4 out of 10","6 out of 9","6 out of 10"
"390133","LEHIGH VALLEY HOSPITAL","1200 SOUTH CEDAR CREST BOULVARD","Allentown","PA","18105","LEHIGH","0.851458","0.871669","0.866104","0.869234","8 out of 10","5 out of 9","8 out of 10","0.881794","0.903985","0.896450","0.875213","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.899221","0.895303","5 out of 10","0 out of 9","5 out of 10"
"390137","WILKES-BARRE GENERAL HOSPITAL","575 NORTH RIVER STREET","Wilkes-Barre","PA","18764","LUZERNE","0.851458","0.871669","0.853464","0.864688","6 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.847412","0.866721","0 out of 10","3 out of 9","3 out of 10","0.882986","0.908124","0.846201","0.868562","0 out of 10","3 out of 9","3 out of 10"
"390138","WAYNESBORO HOSPITAL","501 EAST MAIN ST","Waynesboro","PA","17268","FRANKLIN","0.851458","0.871669","0.862463","0.865403","7 out of 10","3 out of 9","7 out of 10","0.881794","0.903985","0.886439","0.894716","6 out of 10","4 out of 9","6 out of 10","0.882986","0.908124","0.885821","0.898205","6 out of 10","5 out of 9","6 out of 10"
"390139","MAIN LINE HOSPITAL BRYN MAWR CAMPUS","130 SOUTH BRYN MAWR AVE","Bryn Mawr","PA","19010","DELAWARE","0.851458","0.871669","0.879430","0.871964","10 out of 10","0 out of 9","10 out of 10","0.881794","0.903985","0.891588","0.884587","2 out of 10","0 out of 9","2 out of 10","0.882986","0.908124","0.904108","0.902362","7 out of 10","0 out of 9","7 out of 10"
"390142","ALBERT EINSTEIN MEDICAL CENTER","5501 OLD YORK ROAD","Philadelphia","PA","19141","PHILADELPHIA","0.851458","0.871669","0.866170","0.875410","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.882497","0.881781","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.900542","0.873863","0 out of 10","0 out of 9","0 out of 10"
"390145","EXCELA HEALTH WESTMORELAND HOSPITAL","532 WEST PITTSBURGH STREET","Greensburg","PA","15601","WESTMORELAND","0.851458","0.871669","0.843079","0.871607","9 out of 10","9 out of 9","9 out of 10","0.881794","0.903985","0.879198","0.871792","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.890769","0.862041","0 out of 10","0 out of 9","0 out of 10"
"390146","WARREN GENERAL HOSPITAL","TWO CRESCENT PARK WEST","Warren","PA","16365","WARREN","0.851458","0.871669","0.852316","0.862401","5 out of 10","Not Available","5 out of 10","0.881794","0.903985","0.875368","0.879665","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.872193","0.905650","9 out of 10","9 out of 9","9 out of 10"
"390147","MONONGAHELA VALLEY HOSPITAL","1163 COUNTRY CLUB ROAD","Monongahela","PA","15063","WASHINGTON","0.851458","0.871669","0.848380","0.856204","3 out of 10","3 out of 9","3 out of 10","0.881794","0.903985","0.898312","0.884306","2 out of 10","0 out of 9","2 out of 10","0.882986","0.908124","0.901170","0.887583","2 out of 10","0 out of 9","2 out of 10"
"390150","WASHINGTON HEALTH SYSTEM GREENE","350 BONAR AVENUE","Waynesburg","PA","15370","GREENE","0.851458","0.871669","0.855396","0.863959","Not Available","Not Available","Not Available","0.881794","0.903985","0.887094","0.878080","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.869993","0.889521","3 out of 10","5 out of 9","5 out of 10"
"390151","CHAMBERSBURG HOSPITAL","112 NORTH SEVENTH STREET","Chambersburg","PA","17201","FRANKLIN","0.851458","0.871669","0.877129","0.855957","3 out of 10","0 out of 9","3 out of 10","0.881794","0.903985","0.895743","0.882937","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.897724","0.896196","5 out of 10","0 out of 9","5 out of 10"
"390153","MAIN LINE HOSPITAL PAOLI","255 WEST LANCASTER AVENUE","Paoli","PA","19301","CHESTER","0.851458","0.871669","0.844097","0.881215","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.886390","0.888264","3 out of 10","1 out of 9","3 out of 10","0.882986","0.908124","0.873708","0.899411","6 out of 10","7 out of 9","7 out of 10"
"390156","MERCY FITZGERALD HOSPITAL","LANSDOWNE & BAILY RDS","Darby","PA","19023","DELAWARE","0.851458","0.871669","0.848825","0.859759","4 out of 10","4 out of 9","4 out of 10","0.881794","0.903985","0.912536","0.878751","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.874387","0.904934","8 out of 10","9 out of 9","9 out of 10"
"390157","OHIO VALLEY GENERAL HOSPITAL","25 HECKEL ROAD","Mckees Rocks","PA","15136","ALLEGHENY","0.851458","0.871669","0.850137","0.869094","Not Available","Not Available","Not Available","0.881794","0.903985","0.888694","0.883455","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.853126","0.872086","0 out of 10","3 out of 9","3 out of 10"
"390160","CANONSBURG GENERAL HOSPITAL","100 MEDICAL BOULEVARD","Canonsburg","PA","15317","WASHINGTON","0.851458","0.871669","0.848636","0.861692","Not Available","Not Available","Not Available","0.881794","0.903985","0.857104","0.883698","1 out of 10","5 out of 9","5 out of 10","0.882986","0.908124","0.870705","0.877150","0 out of 10","1 out of 9","1 out of 10"
"390162","EASTON HOSPITAL","250 SOUTH 21ST STREET","Easton","PA","18042","NORTHAMPTON","0.851458","0.871669","0.842159","0.878364","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.883312","0.907051","10 out of 10","9 out of 9","10 out of 10","0.882986","0.908124","0.894550","0.891109","3 out of 10","0 out of 9","3 out of 10"
"390163","ACMH HOSPITAL","ONE NOLTE DRIVE","Kittanning","PA","16201","ARMSTRONG","0.851458","0.871669","0.861060","0.865066","Not Available","Not Available","Not Available","0.881794","0.903985","0.885036","0.898854","7 out of 10","7 out of 9","7 out of 10","0.882986","0.908124","0.838053","0.881759","0 out of 10","6 out of 9","6 out of 10"
"390164","UPMC PRESBYTERIAN SHADYSIDE","200 LOTHROP STREET","Pittsburgh","PA","15213","ALLEGHENY","0.851458","0.871669","0.852214","0.859359","4 out of 10","3 out of 9","4 out of 10","0.881794","0.903985","0.893670","0.899188","8 out of 10","5 out of 9","8 out of 10","0.882986","0.908124","0.900175","0.912480","10 out of 10","9 out of 9","10 out of 10"
"390168","BUTLER MEMORIAL HOSPITAL","ONE HOSPITAL WAY","Butler","PA","16001","BUTLER","0.851458","0.871669","0.852836","0.863101","6 out of 10","5 out of 9","6 out of 10","0.881794","0.903985","0.881014","0.879629","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.886127","0.881294","0 out of 10","0 out of 9","0 out of 10"
"390173","INDIANA REGIONAL MEDICAL CENTER","835 HOSPITAL ROAD","Indiana","PA","15701","INDIANA","0.851458","0.871669","0.852007","0.875224","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.893708","0.871712","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.891067","0.902310","7 out of 10","6 out of 9","7 out of 10"
"390174","THOMAS JEFFERSON UNIVERSITY HOSPITAL","111 SOUTH 11TH STREET","Philadelphia","PA","19107","PHILADELPHIA","0.851458","0.871669","0.851808","0.869622","9 out of 10","8 out of 9","9 out of 10","0.881794","0.903985","0.905953","0.890935","4 out of 10","0 out of 9","4 out of 10","0.882986","0.908124","0.904289","0.905800","9 out of 10","3 out of 9","9 out of 10"
"390178","UPMC HORIZON","110 NORTH MAIN STREET","Greenville","PA","16125","MERCER","0.851458","0.871669","0.842787","0.871753","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.903096","0.880960","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.874926","0.896321","5 out of 10","6 out of 9","6 out of 10"
"390179","CHESTER COUNTY HOSPITAL","701 EAST MARSHALL STREET","West Chester","PA","19380","CHESTER","0.851458","0.871669","0.862739","0.879329","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.906766","0.899072","8 out of 10","0 out of 9","8 out of 10","0.882986","0.908124","0.893733","0.882953","0 out of 10","0 out of 9","0 out of 10"
"390180","CROZER CHESTER MEDICAL CENTER","ONE MEDICAL CENTER BOULEVARD","Upland","PA","19013","DELAWARE","0.851458","0.871669","0.852741","0.860800","5 out of 10","4 out of 9","5 out of 10","0.881794","0.903985","0.886469","0.878939","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.871076","0.871543","0 out of 10","0 out of 9","0 out of 10"
"390183","ST LUKE'S MINERS MEMORIAL HOSPITAL","360 W RUDDLE STREET","Coaldale","PA","18218","SCHUYLKILL","0.851458","0.871669","0.853595","0.870718","Not Available","Not Available","Not Available","0.881794","0.903985","0.893589","0.898596","7 out of 10","4 out of 9","7 out of 10","0.882986","0.908124","0.896180","0.892706","4 out of 10","0 out of 9","4 out of 10"
"390184","HIGHLANDS HOSPITAL","401 EAST MURPHY AVENUE","Connellsville","PA","15425","FAYETTE","0.851458","0.871669","0.851069","0.863465","Not Available","Not Available","Not Available","0.881794","0.903985","0.883176","0.879194","Not Available","Not Available","Not Available","0.882986","0.908124","0.890003","0.870576","0 out of 10","0 out of 9","0 out of 10"
"390185","LEHIGH VALLEY HOSPITAL - HAZLETON","700 EAST BROAD STREET","Hazleton","PA","18201","LUZERNE","0.851458","0.871669","0.870736","0.877589","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.904327","0.886662","2 out of 10","0 out of 9","2 out of 10","0.882986","0.908124","0.914993","0.899423","6 out of 10","0 out of 9","6 out of 10"
"390192","TYLER MEMORIAL HOSPITAL","5950 STATE ROUTE 6 WEST","Tunkhannock","PA","18657","WYOMING","0.851458","0.871669","0.846200","0.863654","Not Available","Not Available","Not Available","0.881794","0.903985","0.896204","0.879250","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.896345","0.874879","0 out of 10","0 out of 9","0 out of 10"
"390194","BLUE MOUNTAIN HOSPITAL-GNADEN HUETTEN CAMPUS","211 NORTH 12TH STREET","Lehighton","PA","18235","CARBON","0.851458","0.871669","0.850681","0.864651","6 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.875613","0.869226","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.877682","0.897915","6 out of 10","6 out of 9","6 out of 10"
"390195","MAIN LINE HOSPITAL LANKENAU","100 LANCASTER AVE","Wynnewood","PA","19096","MONTGOMERY","0.851458","0.871669","0.853128","0.869921","9 out of 10","9 out of 9","9 out of 10","0.881794","0.903985","0.905950","0.921205","10 out of 10","9 out of 9","10 out of 10","0.882986","0.908124","0.903563","0.904448","8 out of 10","1 out of 9","8 out of 10"
"390197","SACRED HEART HOSPITAL","421 CHEW STREET","Allentown","PA","18102","LEHIGH","0.851458","0.871669","0.852930","0.865676","Not Available","Not Available","Not Available","0.881794","0.903985","0.900566","0.895992","6 out of 10","0 out of 9","6 out of 10","0.882986","0.908124","0.893909","0.896389","5 out of 10","1 out of 9","5 out of 10"
"390198","MILLCREEK COMMUNITY HOSPITAL","5515 PEACH STREET","Erie","PA","16509","ERIE","0.851458","0.871669","0.844158","0.861672","Not Available","Not Available","Not Available","0.881794","0.903985","0.875985","0.888958","3 out of 10","4 out of 9","4 out of 10","0.882986","0.908124","0.862127","0.885008","1 out of 10","4 out of 9","4 out of 10"
"390199","PUNXSUTAWNEY AREA HOSPITAL","81 HILLCREST DRIVE","Punxsutawney","PA","15767","JEFFERSON","0.851458","0.871669","0.841870","0.870099","Not Available","Not Available","Not Available","0.881794","0.903985","0.887056","0.888955","3 out of 10","1 out of 9","3 out of 10","0.882986","0.908124","0.886821","0.891907","4 out of 10","2 out of 9","4 out of 10"
"390201","POCONO MEDICAL CENTER","206 EAST BROWN STREET","East Stroudsburg","PA","18301","MONROE","0.851458","0.871669","0.836164","0.879357","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.885912","0.879041","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.891860","0.895499","5 out of 10","2 out of 9","5 out of 10"
