Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"BAYLOR MEDICAL CENTER AT IRVING","450079","TX","READM-30-PN-HRRP","558"," ","0.8988","15.3155","17.0399","80","01-JUL-12","30-JUN-15"
"TITUS REGIONAL MEDICAL CENTER","450080","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"TITUS REGIONAL MEDICAL CENTER","450080","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"TITUS REGIONAL MEDICAL CENTER","450080","TX","READM-30-COPD-HRRP","112"," ","0.9598","18.4862","19.2612","18","01-JUL-12","30-JUN-15"
"TITUS REGIONAL MEDICAL CENTER","450080","TX","READM-30-HF-HRRP","159"," ","0.9411","19.9080","21.1539","28","01-JUL-12","30-JUN-15"
"TITUS REGIONAL MEDICAL CENTER","450080","TX","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.9882","4.5530","4.6074","Too Few to Report","01-JUL-12","30-JUN-15"
"TITUS REGIONAL MEDICAL CENTER","450080","TX","READM-30-PN-HRRP","285"," ","0.9165","14.8739","16.2293","38","01-JUL-12","30-JUN-15"
"CHRISTUS SPOHN HOSPITAL BEEVILLE","450082","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CHRISTUS SPOHN HOSPITAL BEEVILLE","450082","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CHRISTUS SPOHN HOSPITAL BEEVILLE","450082","TX","READM-30-COPD-HRRP","150"," ","0.9776","18.3190","18.7381","26","01-JUL-12","30-JUN-15"
"CHRISTUS SPOHN HOSPITAL BEEVILLE","450082","TX","READM-30-HF-HRRP","116"," ","1.0066","22.9183","22.7671","27","01-JUL-12","30-JUN-15"
"CHRISTUS SPOHN HOSPITAL BEEVILLE","450082","TX","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CHRISTUS SPOHN HOSPITAL BEEVILLE","450082","TX","READM-30-PN-HRRP","162"," ","0.9993","17.9253","17.9386","29","01-JUL-12","30-JUN-15"
"EAST TEXAS MEDICAL CENTER","450083","TX","READM-30-AMI-HRRP","686"," ","0.9880","15.7001","15.8904","107","01-JUL-12","30-JUN-15"
"EAST TEXAS MEDICAL CENTER","450083","TX","READM-30-CABG-HRRP","285"," ","1.0235","14.7957","14.4557","43","01-JUL-12","30-JUN-15"
"EAST TEXAS MEDICAL CENTER","450083","TX","READM-30-COPD-HRRP","515"," ","0.9815","21.0263","21.4236","107","01-JUL-12","30-JUN-15"
"EAST TEXAS MEDICAL CENTER","450083","TX","READM-30-HF-HRRP","736"," ","1.0259","22.8801","22.3023","170","01-JUL-12","30-JUN-15"
"EAST TEXAS MEDICAL CENTER","450083","TX","READM-30-HIP-KNEE-HRRP","266"," ","1.1331","6.2100","5.4805","19","01-JUL-12","30-JUN-15"
"EAST TEXAS MEDICAL CENTER","450083","TX","READM-30-PN-HRRP","1109"," ","1.0608","19.2852","18.1801","217","01-JUL-12","30-JUN-15"
"GRAHAM REGIONAL MEDICAL CENTER","450085","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"GRAHAM REGIONAL MEDICAL CENTER","450085","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"GRAHAM REGIONAL MEDICAL CENTER","450085","TX","READM-30-COPD-HRRP","94"," ","0.9327","17.5507","18.8164","12","01-JUL-12","30-JUN-15"
"GRAHAM REGIONAL MEDICAL CENTER","450085","TX","READM-30-HF-HRRP","106"," ","0.9383","18.6670","19.8953","16","01-JUL-12","30-JUN-15"
"GRAHAM REGIONAL MEDICAL CENTER","450085","TX","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.9131","4.3838","4.8008","Too Few to Report","01-JUL-12","30-JUN-15"
"GRAHAM REGIONAL MEDICAL CENTER","450085","TX","READM-30-PN-HRRP","129"," ","1.0354","14.9445","14.4338","21","01-JUL-12","30-JUN-15"
"NORTH HILLS HOSPITAL","450087","TX","READM-30-AMI-HRRP","144"," ","0.9527","16.5830","17.4063","21","01-JUL-12","30-JUN-15"
"NORTH HILLS HOSPITAL","450087","TX","READM-30-CABG-HRRP","Not Available"," ","0.9587","11.6511","12.1526","Too Few to Report","01-JUL-12","30-JUN-15"
"NORTH HILLS HOSPITAL","450087","TX","READM-30-COPD-HRRP","207"," ","1.0172","20.6978","20.3475","44","01-JUL-12","30-JUN-15"
"NORTH HILLS HOSPITAL","450087","TX","READM-30-HF-HRRP","305"," ","0.9019","20.4429","22.6673","56","01-JUL-12","30-JUN-15"
"NORTH HILLS HOSPITAL","450087","TX","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.1321","5.8797","5.1935","Too Few to Report","01-JUL-12","30-JUN-15"
"NORTH HILLS HOSPITAL","450087","TX","READM-30-PN-HRRP","343"," ","0.8805","15.0159","17.0531","45","01-JUL-12","30-JUN-15"
"NORTH TEXAS MEDICAL CENTER","450090","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"NORTH TEXAS MEDICAL CENTER","450090","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"NORTH TEXAS MEDICAL CENTER","450090","TX","READM-30-COPD-HRRP","70"," ","0.9946","17.6472","17.7437","12","01-JUL-12","30-JUN-15"
"NORTH TEXAS MEDICAL CENTER","450090","TX","READM-30-HF-HRRP","Not Available"," ","0.9573","19.6237","20.4982","Too Few to Report","01-JUL-12","30-JUN-15"
"NORTH TEXAS MEDICAL CENTER","450090","TX","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"NORTH TEXAS MEDICAL CENTER","450090","TX","READM-30-PN-HRRP","142"," ","0.8541","13.2481","15.5116","11","01-JUL-12","30-JUN-15"
"FORT DUNCAN MEDICAL CENTER","450092","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"FORT DUNCAN MEDICAL CENTER","450092","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"FORT DUNCAN MEDICAL CENTER","450092","TX","READM-30-COPD-HRRP","201"," ","0.8471","16.8232","19.8592","23","01-JUL-12","30-JUN-15"
"FORT DUNCAN MEDICAL CENTER","450092","TX","READM-30-HF-HRRP","209"," ","1.0285","24.9743","24.2826","54","01-JUL-12","30-JUN-15"
"FORT DUNCAN MEDICAL CENTER","450092","TX","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.0534","6.5338","6.2024","Too Few to Report","01-JUL-12","30-JUN-15"
"FORT DUNCAN MEDICAL CENTER","450092","TX","READM-30-PN-HRRP","297"," ","1.1108","21.3202","19.1943","69","01-JUL-12","30-JUN-15"
"BAYSHORE MEDICAL CENTER","450097","TX","READM-30-AMI-HRRP","167"," ","1.0142","18.6491","18.3887","32","01-JUL-12","30-JUN-15"
"BAYSHORE MEDICAL CENTER","450097","TX","READM-30-CABG-HRRP","Not Available"," ","0.9486","14.9307","15.7402","Too Few to Report","01-JUL-12","30-JUN-15"
"BAYSHORE MEDICAL CENTER","450097","TX","READM-30-COPD-HRRP","365"," ","0.9375","18.4385","19.6681","63","01-JUL-12","30-JUN-15"
"BAYSHORE MEDICAL CENTER","450097","TX","READM-30-HF-HRRP","388"," ","1.0179","22.3940","21.9994","88","01-JUL-12","30-JUN-15"
"BAYSHORE MEDICAL CENTER","450097","TX","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"BAYSHORE MEDICAL CENTER","450097","TX","READM-30-PN-HRRP","483"," ","0.9670","18.1742","18.7939","86","01-JUL-12","30-JUN-15"
"PAMPA REGIONAL MEDICAL CENTER","450099","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"PAMPA REGIONAL MEDICAL CENTER","450099","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"PAMPA REGIONAL MEDICAL CENTER","450099","TX","READM-30-COPD-HRRP","82"," ","0.9683","18.4555","19.0588","13","01-JUL-12","30-JUN-15"
"PAMPA REGIONAL MEDICAL CENTER","450099","TX","READM-30-HF-HRRP","126"," ","0.8959","17.0296","19.0081","15","01-JUL-12","30-JUN-15"
"PAMPA REGIONAL MEDICAL CENTER","450099","TX","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.9902","4.6356","4.6817","Too Few to Report","01-JUL-12","30-JUN-15"
"PAMPA REGIONAL MEDICAL CENTER","450099","TX","READM-30-PN-HRRP","128"," ","0.9025","14.1560","15.6858","13","01-JUL-12","30-JUN-15"
"HILLCREST BAPTIST MEDICAL CENTER","450101","TX","READM-30-AMI-HRRP","174"," ","1.0109","15.7305","15.5609","28","01-JUL-12","30-JUN-15"
"HILLCREST BAPTIST MEDICAL CENTER","450101","TX","READM-30-CABG-HRRP","Not Available"," ","1.0589","13.2944","12.5544","Too Few to Report","01-JUL-12","30-JUN-15"
"HILLCREST BAPTIST MEDICAL CENTER","450101","TX","READM-30-COPD-HRRP","191"," ","0.8610","17.7848","20.6550","24","01-JUL-12","30-JUN-15"
"HILLCREST BAPTIST MEDICAL CENTER","450101","TX","READM-30-HF-HRRP","270"," ","0.9890","20.2477","20.4727","54","01-JUL-12","30-JUN-15"
"HILLCREST BAPTIST MEDICAL CENTER","450101","TX","READM-30-HIP-KNEE-HRRP","244"," ","1.1961","5.5277","4.6216","17","01-JUL-12","30-JUN-15"
"HILLCREST BAPTIST MEDICAL CENTER","450101","TX","READM-30-PN-HRRP","479"," ","0.9116","15.8142","17.3473","71","01-JUL-12","30-JUN-15"
"MOTHER FRANCES HOSPITAL","450102","TX","READM-30-AMI-HRRP","850"," ","1.0257","16.2965","15.8885","140","01-JUL-12","30-JUN-15"
"MOTHER FRANCES HOSPITAL","450102","TX","READM-30-CABG-HRRP","333"," ","0.8988","12.2197","13.5963","37","01-JUL-12","30-JUN-15"
"MOTHER FRANCES HOSPITAL","450102","TX","READM-30-COPD-HRRP","725"," ","0.9129","19.3264","21.1701","134","01-JUL-12","30-JUN-15"
"MOTHER FRANCES HOSPITAL","450102","TX","READM-30-HF-HRRP","1341"," ","0.9723","21.7552","22.3744","290","01-JUL-12","30-JUN-15"
"MOTHER FRANCES HOSPITAL","450102","TX","READM-30-HIP-KNEE-HRRP","969"," ","0.8409","4.3760","5.2039","39","01-JUL-12","30-JUN-15"
"MOTHER FRANCES HOSPITAL","450102","TX","READM-30-PN-HRRP","1593"," ","0.9060","15.2566","16.8389","238","01-JUL-12","30-JUN-15"
"GUADALUPE REGIONAL MEDICAL CENTER","450104","TX","READM-30-AMI-HRRP","Not Available"," ","1.0145","15.7327","15.5086","Too Few to Report","01-JUL-12","30-JUN-15"
"GUADALUPE REGIONAL MEDICAL CENTER","450104","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"GUADALUPE REGIONAL MEDICAL CENTER","450104","TX","READM-30-COPD-HRRP","158"," ","0.9611","17.4530","18.1591","25","01-JUL-12","30-JUN-15"
"GUADALUPE REGIONAL MEDICAL CENTER","450104","TX","READM-30-HF-HRRP","234"," ","0.9198","19.2539","20.9320","40","01-JUL-12","30-JUN-15"
"GUADALUPE REGIONAL MEDICAL CENTER","450104","TX","READM-30-HIP-KNEE-HRRP","233"," ","1.1147","5.0994","4.5749","14","01-JUL-12","30-JUN-15"
"GUADALUPE REGIONAL MEDICAL CENTER","450104","TX","READM-30-PN-HRRP","412"," ","0.9502","15.1895","15.9858","60","01-JUL-12","30-JUN-15"
"LAS PALMAS MEDICAL CENTER","450107","TX","READM-30-AMI-HRRP","271"," ","1.1142","19.0028","17.0552","58","01-JUL-12","30-JUN-15"
"LAS PALMAS MEDICAL CENTER","450107","TX","READM-30-CABG-HRRP","Not Available"," ","1.0510","14.2260","13.5361","Too Few to Report","01-JUL-12","30-JUN-15"
"LAS PALMAS MEDICAL CENTER","450107","TX","READM-30-COPD-HRRP","419"," ","0.9612","17.5605","18.2691","71","01-JUL-12","30-JUN-15"
"LAS PALMAS MEDICAL CENTER","450107","TX","READM-30-HF-HRRP","632"," ","1.0041","22.1112","22.0201","140","01-JUL-12","30-JUN-15"
"LAS PALMAS MEDICAL CENTER","450107","TX","READM-30-HIP-KNEE-HRRP","286"," ","1.0219","5.0961","4.9867","15","01-JUL-12","30-JUN-15"
"LAS PALMAS MEDICAL CENTER","450107","TX","READM-30-PN-HRRP","739"," ","1.1071","19.1654","17.3116","147","01-JUL-12","30-JUN-15"
"CONNALLY MEMORIAL MEDICAL CENTER","450108","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CONNALLY MEMORIAL MEDICAL CENTER","450108","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CONNALLY MEMORIAL MEDICAL CENTER","450108","TX","READM-30-COPD-HRRP","Not Available"," ","0.9989","17.2427","17.2613","Too Few to Report","01-JUL-12","30-JUN-15"
"CONNALLY MEMORIAL MEDICAL CENTER","450108","TX","READM-30-HF-HRRP","80"," ","0.9899","22.0329","22.2580","17","01-JUL-12","30-JUN-15"
"CONNALLY MEMORIAL MEDICAL CENTER","450108","TX","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.9435","4.3321","4.5915","Too Few to Report","01-JUL-12","30-JUN-15"
"CONNALLY MEMORIAL MEDICAL CENTER","450108","TX","READM-30-PN-HRRP","157"," ","0.9342","16.2275","17.3700","22","01-JUL-12","30-JUN-15"
"SOUTH TEXAS HEALTH SYSTEM","450119","TX","READM-30-AMI-HRRP","378"," ","0.9706","17.6722","18.2083","65","01-JUL-12","30-JUN-15"
"SOUTH TEXAS HEALTH SYSTEM","450119","TX","READM-30-CABG-HRRP","133"," ","0.9102","13.7912","15.1523","15","01-JUL-12","30-JUN-15"
"SOUTH TEXAS HEALTH SYSTEM","450119","TX","READM-30-COPD-HRRP","336"," ","0.9998","20.8372","20.8412","70","01-JUL-12","30-JUN-15"
"SOUTH TEXAS HEALTH SYSTEM","450119","TX","READM-30-HF-HRRP","791"," ","0.9900","22.8354","23.0653","180","01-JUL-12","30-JUN-15"
"SOUTH TEXAS HEALTH SYSTEM","450119","TX","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.9872","7.3056","7.4005","Too Few to Report","01-JUL-12","30-JUN-15"
"SOUTH TEXAS HEALTH SYSTEM","450119","TX","READM-30-PN-HRRP","700"," ","1.0012","18.5623","18.5402","130","01-JUL-12","30-JUN-15"
"UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE","450124","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE","450124","TX","READM-30-CABG-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE","450124","TX","READM-30-COPD-HRRP","Not Available"," ","0.9406","19.1877","20.3999","Too Few to Report","01-JUL-12","30-JUN-15"
"UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE","450124","TX","READM-30-HF-HRRP","94"," ","1.0030","21.0797","21.0160","20","01-JUL-12","30-JUN-15"
"UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE","450124","TX","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.9822","4.3528","4.4316","Too Few to Report","01-JUL-12","30-JUN-15"
"UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE","450124","TX","READM-30-PN-HRRP","74"," ","1.0737","16.7293","15.5809","16","01-JUL-12","30-JUN-15"
"KNAPP MEDICAL CENTER","450128","TX","READM-30-AMI-HRRP","Not Available"," ","0.9558","19.2902","20.1832","Too Few to Report","01-JUL-12","30-JUN-15"
"KNAPP MEDICAL CENTER","450128","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"KNAPP MEDICAL CENTER","450128","TX","READM-30-COPD-HRRP","198"," ","0.8536","16.3553","19.1600","22","01-JUL-12","30-JUN-15"
"KNAPP MEDICAL CENTER","450128","TX","READM-30-HF-HRRP","303"," ","1.0267","23.5443","22.9311","73","01-JUL-12","30-JUN-15"
"KNAPP MEDICAL CENTER","450128","TX","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.9759","4.6134","4.7273","Too Few to Report","01-JUL-12","30-JUN-15"
"KNAPP MEDICAL CENTER","450128","TX","READM-30-PN-HRRP","374"," ","0.8321","14.8156","17.8041","46","01-JUL-12","30-JUN-15"
"NIX HEALTH CARE SYSTEM","450130","TX","READM-30-AMI-HRRP","Not Available"," ","0.9533","17.8049","18.6762","Too Few to Report","01-JUL-12","30-JUN-15"
"NIX HEALTH CARE SYSTEM","450130","TX","READM-30-CABG-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"NIX HEALTH CARE SYSTEM","450130","TX","READM-30-COPD-HRRP","Not Available"," ","0.9427","18.2581","19.3675","Too Few to Report","01-JUL-12","30-JUN-15"
"NIX HEALTH CARE SYSTEM","450130","TX","READM-30-HF-HRRP","200"," ","1.0609","23.6492","22.2921","51","01-JUL-12","30-JUN-15"
"NIX HEALTH CARE SYSTEM","450130","TX","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.8324","4.0640","4.8821","Too Few to Report","01-JUL-12","30-JUN-15"
"NIX HEALTH CARE SYSTEM","450130","TX","READM-30-PN-HRRP","252"," ","0.9066","14.6556","16.1649","32","01-JUL-12","30-JUN-15"
"MEDICAL CENTER HOSPITAL","450132","TX","READM-30-AMI-HRRP","353"," ","1.0566","16.0986","15.2368","60","01-JUL-12","30-JUN-15"
"MEDICAL CENTER HOSPITAL","450132","TX","READM-30-CABG-HRRP","76"," ","1.0068","14.1604","14.0647","11","01-JUL-12","30-JUN-15"
"MEDICAL CENTER HOSPITAL","450132","TX","READM-30-COPD-HRRP","449"," ","1.0739","17.9141","16.6820","85","01-JUL-12","30-JUN-15"
"MEDICAL CENTER HOSPITAL","450132","TX","READM-30-HF-HRRP","501"," ","1.1305","22.4542","19.8615","120","01-JUL-12","30-JUN-15"
"MEDICAL CENTER HOSPITAL","450132","TX","READM-30-HIP-KNEE-HRRP","263"," ","1.1218","5.2302","4.6624","16","01-JUL-12","30-JUN-15"
"MEDICAL CENTER HOSPITAL","450132","TX","READM-30-PN-HRRP","455"," ","0.9739","15.4586","15.8727","69","01-JUL-12","30-JUN-15"
"MIDLAND MEMORIAL HOSPITAL","450133","TX","READM-30-AMI-HRRP","208"," ","0.9225","13.2384","14.3500","23","01-JUL-12","30-JUN-15"
"MIDLAND MEMORIAL HOSPITAL","450133","TX","READM-30-CABG-HRRP","Not Available"," ","0.9802","14.0177","14.3009","Too Few to Report","01-JUL-12","30-JUN-15"
"MIDLAND MEMORIAL HOSPITAL","450133","TX","READM-30-COPD-HRRP","362"," ","0.9447","17.5970","18.6273","60","01-JUL-12","30-JUN-15"
"MIDLAND MEMORIAL HOSPITAL","450133","TX","READM-30-HF-HRRP","459"," ","0.8569","17.4628","20.3802","71","01-JUL-12","30-JUN-15"
"MIDLAND MEMORIAL HOSPITAL","450133","TX","READM-30-HIP-KNEE-HRRP","417"," ","0.9668","3.9931","4.1303","16","01-JUL-12","30-JUN-15"
"MIDLAND MEMORIAL HOSPITAL","450133","TX","READM-30-PN-HRRP","547"," ","0.9933","15.2355","15.3387","83","01-JUL-12","30-JUN-15"
"TEXAS HEALTH HARRIS METHODIST FORT WORTH","450135","TX","READM-30-AMI-HRRP","768"," ","0.8926","14.1344","15.8357","102","01-JUL-12","30-JUN-15"
"TEXAS HEALTH HARRIS METHODIST FORT WORTH","450135","TX","READM-30-CABG-HRRP","154"," ","0.9418","12.3871","13.1527","17","01-JUL-12","30-JUN-15"
"TEXAS HEALTH HARRIS METHODIST FORT WORTH","450135","TX","READM-30-COPD-HRRP","684"," ","0.9275","19.3054","20.8135","127","01-JUL-12","30-JUN-15"
"TEXAS HEALTH HARRIS METHODIST FORT WORTH","450135","TX","READM-30-HF-HRRP","943"," ","0.9706","21.2976","21.9416","199","01-JUL-12","30-JUN-15"
"TEXAS HEALTH HARRIS METHODIST FORT WORTH","450135","TX","READM-30-HIP-KNEE-HRRP","266"," ","1.0020","4.8727","4.8633","13","01-JUL-12","30-JUN-15"
"TEXAS HEALTH HARRIS METHODIST FORT WORTH","450135","TX","READM-30-PN-HRRP","1018"," ","0.9144","15.8762","17.3630","157","01-JUL-12","30-JUN-15"
"BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER","450137","TX","READM-30-AMI-HRRP","200"," ","0.9812","17.5688","17.9058","34","01-JUL-12","30-JUN-15"
"BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER","450137","TX","READM-30-CABG-HRRP","Not Available"," ","1.0342","13.2204","12.7828","Too Few to Report","01-JUL-12","30-JUN-15"
"BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER","450137","TX","READM-30-COPD-HRRP","330"," ","0.9751","21.1283","21.6679","68","01-JUL-12","30-JUN-15"
"BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER","450137","TX","READM-30-HF-HRRP","308"," ","1.0569","24.5042","23.1857","79","01-JUL-12","30-JUN-15"
"BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER","450137","TX","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.0767","6.1958","5.7543","Too Few to Report","01-JUL-12","30-JUN-15"
"BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER","450137","TX","READM-30-PN-HRRP","567"," ","0.9288","16.9067","18.2026","92","01-JUL-12","30-JUN-15"
"SETON SMITHVILLE REGIONAL HOSPITAL","450143","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"SETON SMITHVILLE REGIONAL HOSPITAL","450143","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"SETON SMITHVILLE REGIONAL HOSPITAL","450143","TX","READM-30-COPD-HRRP","Not Available"," ","0.9663","17.9270","18.5524","Too Few to Report","01-JUL-12","30-JUN-15"
"SETON SMITHVILLE REGIONAL HOSPITAL","450143","TX","READM-30-HF-HRRP","Not Available"," ","0.9534","18.4166","19.3164","Too Few to Report","01-JUL-12","30-JUN-15"
"SETON SMITHVILLE REGIONAL HOSPITAL","450143","TX","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"SETON SMITHVILLE REGIONAL HOSPITAL","450143","TX","READM-30-PN-HRRP","Not Available"," ","0.9015","13.2968","14.7495","Too Few to Report","01-JUL-12","30-JUN-15"
"PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO","450144","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO","450144","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO","450144","TX","READM-30-COPD-HRRP","Not Available"," ","0.9634","15.8588","16.4611","Too Few to Report","01-JUL-12","30-JUN-15"
"PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO","450144","TX","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO","450144","TX","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO","450144","TX","READM-30-PN-HRRP","Not Available"," ","0.9875","12.7053","12.8658","Too Few to Report","01-JUL-12","30-JUN-15"
"DETAR HOSPITAL NAVARRO","450147","TX","READM-30-AMI-HRRP","251"," ","0.9522","15.4830","16.2606","36","01-JUL-12","30-JUN-15"
"DETAR HOSPITAL NAVARRO","450147","TX","READM-30-CABG-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"DETAR HOSPITAL NAVARRO","450147","TX","READM-30-COPD-HRRP","165"," ","1.0577","20.1687","19.0685","37","01-JUL-12","30-JUN-15"
"DETAR HOSPITAL NAVARRO","450147","TX","READM-30-HF-HRRP","380"," ","0.9564","20.7167","21.6617","76","01-JUL-12","30-JUN-15"
"DETAR HOSPITAL NAVARRO","450147","TX","READM-30-HIP-KNEE-HRRP","317"," ","0.9295","4.2331","4.5544","12","01-JUL-12","30-JUN-15"
"DETAR HOSPITAL NAVARRO","450147","TX","READM-30-PN-HRRP","341"," ","0.8669","15.3417","17.6968","45","01-JUL-12","30-JUN-15"
"TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","450148","TX","READM-30-AMI-HRRP","Not Available"," ","0.9796","20.3043","20.7273","Too Few to Report","01-JUL-12","30-JUN-15"
"TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","450148","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","450148","TX","READM-30-COPD-HRRP","206"," ","0.9985","18.9796","19.0078","39","01-JUL-12","30-JUN-15"
"TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","450148","TX","READM-30-HF-HRRP","157"," ","0.9755","20.7080","21.2271","31","01-JUL-12","30-JUN-15"
"TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","450148","TX","READM-30-HIP-KNEE-HRRP","175"," ","1.2098","5.3017","4.3824","13","01-JUL-12","30-JUN-15"
"TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","450148","TX","READM-30-PN-HRRP","299"," ","0.9577","15.1105","15.7781","43","01-JUL-12","30-JUN-15"
"METROPLEX HOSPITAL","450152","TX","READM-30-AMI-HRRP","84"," ","1.0234","17.3912","16.9927","16","01-JUL-12","30-JUN-15"
"METROPLEX HOSPITAL","450152","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"METROPLEX HOSPITAL","450152","TX","READM-30-COPD-HRRP","294"," ","1.0139","23.8157","23.4890","71","01-JUL-12","30-JUN-15"
"METROPLEX HOSPITAL","450152","TX","READM-30-HF-HRRP","258"," ","1.0015","23.6065","23.5710","61","01-JUL-12","30-JUN-15"
